iso_code,country,date,owid_aged_65_older
DZA,Algeria,2020-06-25,6.211
DZA,Algeria,2020-06-26,6.211
DZA,Algeria,2020-06-27,6.211
DZA,Algeria,2020-06-28,6.211
DZA,Algeria,2020-06-29,6.211
DZA,Algeria,2020-06-30,6.211
DZA,Algeria,2020-07-01,6.211
DZA,Algeria,2020-07-02,6.211
DZA,Algeria,2020-07-03,6.211
DZA,Algeria,2020-07-04,6.211
DZA,Algeria,2020-07-05,6.211
DZA,Algeria,2020-07-06,6.211
DZA,Algeria,2020-07-07,6.211
DZA,Algeria,2020-07-08,6.211
DZA,Algeria,2020-07-09,6.211
DZA,Algeria,2020-07-10,6.211
DZA,Algeria,2020-07-11,6.211
DZA,Algeria,2020-07-12,6.211
DZA,Algeria,2020-07-13,6.211
DZA,Algeria,2020-07-14,6.211
DZA,Algeria,2020-07-15,6.211
DZA,Algeria,2020-07-16,6.211
DZA,Algeria,2020-07-17,6.211
DZA,Algeria,2020-07-18,6.211
DZA,Algeria,2020-07-19,6.211
DZA,Algeria,2020-07-20,6.211
DZA,Algeria,2020-07-21,6.211
DZA,Algeria,2020-07-22,6.211
DZA,Algeria,2020-07-23,6.211
DZA,Algeria,2020-07-24,6.211
DZA,Algeria,2020-07-25,6.211
DZA,Algeria,2020-07-26,6.211
DZA,Algeria,2020-07-27,6.211
DZA,Algeria,2020-07-28,6.211
DZA,Algeria,2020-07-29,6.211
DZA,Algeria,2020-07-30,6.211
DZA,Algeria,2020-07-31,6.211
DZA,Algeria,2020-08-01,6.211
DZA,Algeria,2020-08-02,6.211
DZA,Algeria,2020-08-03,6.211
DZA,Algeria,2020-08-04,6.211
DZA,Algeria,2020-08-05,6.211
DZA,Algeria,2020-08-06,6.211
DZA,Algeria,2020-08-07,6.211
DZA,Algeria,2020-08-08,6.211
DZA,Algeria,2020-08-09,6.211
DZA,Algeria,2020-08-10,6.211
DZA,Algeria,2020-08-11,6.211
DZA,Algeria,2020-08-12,6.211
DZA,Algeria,2020-08-13,6.211
DZA,Algeria,2020-08-14,6.211
DZA,Algeria,2020-08-15,6.211
DZA,Algeria,2020-08-16,6.211
DZA,Algeria,2020-08-17,6.211
DZA,Algeria,2020-08-18,6.211
DZA,Algeria,2020-08-19,6.211
DZA,Algeria,2020-08-20,6.211
DZA,Algeria,2020-08-21,6.211
DZA,Algeria,2020-08-22,6.211
DZA,Algeria,2020-08-23,6.211
DZA,Algeria,2020-08-24,6.211
DZA,Algeria,2020-08-25,6.211
DZA,Algeria,2020-08-26,6.211
DZA,Algeria,2020-08-27,6.211
DZA,Algeria,2020-08-28,6.211
DZA,Algeria,2020-08-29,6.211
DZA,Algeria,2020-08-30,6.211
DZA,Algeria,2020-08-31,6.211
DZA,Algeria,2020-09-01,6.211
DZA,Algeria,2020-09-02,6.211
DZA,Algeria,2020-09-03,6.211
DZA,Algeria,2020-09-04,6.211
DZA,Algeria,2020-09-05,6.211
DZA,Algeria,2020-09-06,6.211
DZA,Algeria,2020-09-07,6.211
DZA,Algeria,2020-09-08,6.211
ECU,Ecuador,2019-12-31,7.104
ECU,Ecuador,2020-01-01,7.104
ECU,Ecuador,2020-01-02,7.104
ECU,Ecuador,2020-01-03,7.104
ECU,Ecuador,2020-01-04,7.104
ECU,Ecuador,2020-01-05,7.104
ECU,Ecuador,2020-01-06,7.104
ECU,Ecuador,2020-01-07,7.104
ECU,Ecuador,2020-01-08,7.104
ECU,Ecuador,2020-01-09,7.104
ECU,Ecuador,2020-01-10,7.104
ECU,Ecuador,2020-01-11,7.104
ECU,Ecuador,2020-01-12,7.104
ECU,Ecuador,2020-01-13,7.104
ECU,Ecuador,2020-01-14,7.104
ECU,Ecuador,2020-01-15,7.104
ECU,Ecuador,2020-01-16,7.104
ECU,Ecuador,2020-01-17,7.104
ECU,Ecuador,2020-01-18,7.104
ECU,Ecuador,2020-01-19,7.104
ECU,Ecuador,2020-01-20,7.104
ECU,Ecuador,2020-01-21,7.104
ECU,Ecuador,2020-01-22,7.104
ECU,Ecuador,2020-01-23,7.104
ECU,Ecuador,2020-01-24,7.104
ECU,Ecuador,2020-01-25,7.104
ECU,Ecuador,2020-01-26,7.104
ECU,Ecuador,2020-01-27,7.104
ECU,Ecuador,2020-01-28,7.104
ECU,Ecuador,2020-01-29,7.104
ECU,Ecuador,2020-01-30,7.104
ECU,Ecuador,2020-01-31,7.104
ECU,Ecuador,2020-02-01,7.104
ECU,Ecuador,2020-02-02,7.104
ECU,Ecuador,2020-02-03,7.104
ECU,Ecuador,2020-02-04,7.104
ECU,Ecuador,2020-02-05,7.104
ECU,Ecuador,2020-02-06,7.104
ECU,Ecuador,2020-02-07,7.104
ECU,Ecuador,2020-02-08,7.104
ECU,Ecuador,2020-02-09,7.104
ECU,Ecuador,2020-02-10,7.104
ECU,Ecuador,2020-02-11,7.104
ECU,Ecuador,2020-02-12,7.104
ECU,Ecuador,2020-02-13,7.104
ECU,Ecuador,2020-02-14,7.104
ECU,Ecuador,2020-02-15,7.104
ECU,Ecuador,2020-02-16,7.104
ECU,Ecuador,2020-02-17,7.104
ECU,Ecuador,2020-02-18,7.104
ECU,Ecuador,2020-02-19,7.104
ECU,Ecuador,2020-02-20,7.104
ECU,Ecuador,2020-02-21,7.104
ECU,Ecuador,2020-02-22,7.104
ECU,Ecuador,2020-02-23,7.104
ECU,Ecuador,2020-02-24,7.104
ECU,Ecuador,2020-02-25,7.104
ECU,Ecuador,2020-02-26,7.104
ECU,Ecuador,2020-02-27,7.104
ECU,Ecuador,2020-02-28,7.104
ECU,Ecuador,2020-02-29,7.104
ECU,Ecuador,2020-03-01,7.104
ECU,Ecuador,2020-03-02,7.104
ECU,Ecuador,2020-03-03,7.104
ECU,Ecuador,2020-03-04,7.104
ECU,Ecuador,2020-03-05,7.104
ECU,Ecuador,2020-03-06,7.104
ECU,Ecuador,2020-03-07,7.104
ECU,Ecuador,2020-03-08,7.104
ECU,Ecuador,2020-03-09,7.104
ECU,Ecuador,2020-03-10,7.104
ECU,Ecuador,2020-03-11,7.104
ECU,Ecuador,2020-03-12,7.104
ECU,Ecuador,2020-03-13,7.104
ECU,Ecuador,2020-03-14,7.104
ECU,Ecuador,2020-03-15,7.104
ECU,Ecuador,2020-03-16,7.104
ECU,Ecuador,2020-03-17,7.104
ECU,Ecuador,2020-03-18,7.104
ECU,Ecuador,2020-03-19,7.104
ECU,Ecuador,2020-03-20,7.104
ECU,Ecuador,2020-03-21,7.104
ECU,Ecuador,2020-03-22,7.104
ECU,Ecuador,2020-03-23,7.104
ECU,Ecuador,2020-03-24,7.104
ECU,Ecuador,2020-03-25,7.104
ECU,Ecuador,2020-03-26,7.104
ECU,Ecuador,2020-03-27,7.104
ECU,Ecuador,2020-03-28,7.104
ECU,Ecuador,2020-03-29,7.104
ECU,Ecuador,2020-03-30,7.104
ECU,Ecuador,2020-03-31,7.104
ECU,Ecuador,2020-04-01,7.104
ECU,Ecuador,2020-04-02,7.104
ECU,Ecuador,2020-04-03,7.104
ECU,Ecuador,2020-04-04,7.104
ECU,Ecuador,2020-04-05,7.104
ECU,Ecuador,2020-04-06,7.104
ECU,Ecuador,2020-04-07,7.104
ECU,Ecuador,2020-04-08,7.104
ECU,Ecuador,2020-04-09,7.104
ECU,Ecuador,2020-04-10,7.104
ECU,Ecuador,2020-04-11,7.104
ECU,Ecuador,2020-04-12,7.104
ECU,Ecuador,2020-04-13,7.104
ECU,Ecuador,2020-04-14,7.104
ECU,Ecuador,2020-04-15,7.104
ECU,Ecuador,2020-04-16,7.104
ECU,Ecuador,2020-04-17,7.104
ECU,Ecuador,2020-04-18,7.104
ECU,Ecuador,2020-04-19,7.104
ECU,Ecuador,2020-04-20,7.104
ECU,Ecuador,2020-04-21,7.104
ECU,Ecuador,2020-04-22,7.104
ECU,Ecuador,2020-04-23,7.104
ECU,Ecuador,2020-04-24,7.104
ECU,Ecuador,2020-04-25,7.104
ECU,Ecuador,2020-04-26,7.104
ECU,Ecuador,2020-04-27,7.104
ECU,Ecuador,2020-04-28,7.104
ECU,Ecuador,2020-04-29,7.104
ECU,Ecuador,2020-04-30,7.104
ECU,Ecuador,2020-05-01,7.104
ECU,Ecuador,2020-05-02,7.104
ECU,Ecuador,2020-05-03,7.104
ECU,Ecuador,2020-05-04,7.104
ECU,Ecuador,2020-05-05,7.104
ECU,Ecuador,2020-05-06,7.104
ECU,Ecuador,2020-05-07,7.104
ECU,Ecuador,2020-05-08,7.104
ECU,Ecuador,2020-05-09,7.104
ECU,Ecuador,2020-05-10,7.104
ECU,Ecuador,2020-05-11,7.104
ECU,Ecuador,2020-05-12,7.104
ECU,Ecuador,2020-05-13,7.104
ECU,Ecuador,2020-05-14,7.104
ECU,Ecuador,2020-05-15,7.104
ECU,Ecuador,2020-05-16,7.104
ECU,Ecuador,2020-05-17,7.104
ECU,Ecuador,2020-05-18,7.104
ECU,Ecuador,2020-05-19,7.104
ECU,Ecuador,2020-05-20,7.104
ECU,Ecuador,2020-05-21,7.104
ECU,Ecuador,2020-05-22,7.104
ECU,Ecuador,2020-05-23,7.104
ECU,Ecuador,2020-05-24,7.104
ECU,Ecuador,2020-05-25,7.104
ECU,Ecuador,2020-05-26,7.104
ECU,Ecuador,2020-05-27,7.104
ECU,Ecuador,2020-05-28,7.104
ECU,Ecuador,2020-05-29,7.104
ECU,Ecuador,2020-05-30,7.104
ECU,Ecuador,2020-05-31,7.104
ECU,Ecuador,2020-06-01,7.104
ECU,Ecuador,2020-06-02,7.104
ECU,Ecuador,2020-06-03,7.104
ECU,Ecuador,2020-06-04,7.104
ECU,Ecuador,2020-06-05,7.104
ECU,Ecuador,2020-06-06,7.104
ECU,Ecuador,2020-06-07,7.104
ECU,Ecuador,2020-06-08,7.104
ECU,Ecuador,2020-06-09,7.104
ECU,Ecuador,2020-06-10,7.104
ECU,Ecuador,2020-06-11,7.104
ECU,Ecuador,2020-06-12,7.104
ECU,Ecuador,2020-06-13,7.104
ECU,Ecuador,2020-06-14,7.104
ECU,Ecuador,2020-06-15,7.104
ECU,Ecuador,2020-06-16,7.104
ECU,Ecuador,2020-06-17,7.104
ECU,Ecuador,2020-06-18,7.104
ECU,Ecuador,2020-06-19,7.104
ECU,Ecuador,2020-06-20,7.104
ECU,Ecuador,2020-06-21,7.104
ECU,Ecuador,2020-06-22,7.104
ECU,Ecuador,2020-06-23,7.104
ECU,Ecuador,2020-06-24,7.104
ECU,Ecuador,2020-06-25,7.104
ECU,Ecuador,2020-06-26,7.104
ECU,Ecuador,2020-06-27,7.104
ECU,Ecuador,2020-06-28,7.104
ECU,Ecuador,2020-06-29,7.104
ECU,Ecuador,2020-06-30,7.104
ECU,Ecuador,2020-07-01,7.104
ECU,Ecuador,2020-07-02,7.104
ECU,Ecuador,2020-07-03,7.104
ECU,Ecuador,2020-07-04,7.104
ECU,Ecuador,2020-07-05,7.104
ECU,Ecuador,2020-07-06,7.104
ECU,Ecuador,2020-07-07,7.104
ECU,Ecuador,2020-07-08,7.104
ECU,Ecuador,2020-07-09,7.104
ECU,Ecuador,2020-07-10,7.104
ECU,Ecuador,2020-07-11,7.104
ECU,Ecuador,2020-07-12,7.104
ECU,Ecuador,2020-07-13,7.104
ECU,Ecuador,2020-07-14,7.104
ECU,Ecuador,2020-07-15,7.104
ECU,Ecuador,2020-07-16,7.104
ECU,Ecuador,2020-07-17,7.104
ECU,Ecuador,2020-07-18,7.104
ECU,Ecuador,2020-07-19,7.104
ECU,Ecuador,2020-07-20,7.104
ECU,Ecuador,2020-07-21,7.104
ECU,Ecuador,2020-07-22,7.104
ECU,Ecuador,2020-07-23,7.104
ECU,Ecuador,2020-07-24,7.104
ECU,Ecuador,2020-07-25,7.104
ECU,Ecuador,2020-07-26,7.104
ECU,Ecuador,2020-07-27,7.104
ECU,Ecuador,2020-07-28,7.104
ECU,Ecuador,2020-07-29,7.104
ECU,Ecuador,2020-07-30,7.104
ECU,Ecuador,2020-07-31,7.104
ECU,Ecuador,2020-08-01,7.104
ECU,Ecuador,2020-08-02,7.104
ECU,Ecuador,2020-08-03,7.104
ECU,Ecuador,2020-08-04,7.104
ECU,Ecuador,2020-08-05,7.104
ECU,Ecuador,2020-08-06,7.104
ECU,Ecuador,2020-08-07,7.104
ECU,Ecuador,2020-08-08,7.104
ECU,Ecuador,2020-08-09,7.104
ECU,Ecuador,2020-08-10,7.104
ECU,Ecuador,2020-08-11,7.104
ECU,Ecuador,2020-08-12,7.104
ECU,Ecuador,2020-08-13,7.104
ECU,Ecuador,2020-08-14,7.104
ECU,Ecuador,2020-08-15,7.104
ECU,Ecuador,2020-08-16,7.104
ECU,Ecuador,2020-08-17,7.104
ECU,Ecuador,2020-08-18,7.104
ECU,Ecuador,2020-08-19,7.104
ECU,Ecuador,2020-08-20,7.104
ECU,Ecuador,2020-08-21,7.104
ECU,Ecuador,2020-08-22,7.104
ECU,Ecuador,2020-08-23,7.104
ECU,Ecuador,2020-08-24,7.104
ECU,Ecuador,2020-08-25,7.104
ECU,Ecuador,2020-08-26,7.104
ECU,Ecuador,2020-08-27,7.104
ECU,Ecuador,2020-08-28,7.104
ECU,Ecuador,2020-08-29,7.104
ECU,Ecuador,2020-08-30,7.104
ECU,Ecuador,2020-08-31,7.104
ECU,Ecuador,2020-09-01,7.104
ECU,Ecuador,2020-09-02,7.104
ECU,Ecuador,2020-09-03,7.104
ECU,Ecuador,2020-09-04,7.104
ECU,Ecuador,2020-09-05,7.104
ECU,Ecuador,2020-09-06,7.104
ECU,Ecuador,2020-09-07,7.104
ECU,Ecuador,2020-09-08,7.104
EGY,Egypt,2019-12-31,5.159
EGY,Egypt,2020-01-01,5.159
EGY,Egypt,2020-01-02,5.159
EGY,Egypt,2020-01-03,5.159
EGY,Egypt,2020-01-04,5.159
EGY,Egypt,2020-01-05,5.159
EGY,Egypt,2020-01-06,5.159
EGY,Egypt,2020-01-07,5.159
EGY,Egypt,2020-01-08,5.159
EGY,Egypt,2020-01-09,5.159
EGY,Egypt,2020-01-10,5.159
EGY,Egypt,2020-01-11,5.159
EGY,Egypt,2020-01-12,5.159
EGY,Egypt,2020-01-13,5.159
EGY,Egypt,2020-01-14,5.159
EGY,Egypt,2020-01-15,5.159
EGY,Egypt,2020-01-16,5.159
EGY,Egypt,2020-01-17,5.159
EGY,Egypt,2020-01-18,5.159
EGY,Egypt,2020-01-19,5.159
EGY,Egypt,2020-01-20,5.159
EGY,Egypt,2020-01-21,5.159
EGY,Egypt,2020-01-22,5.159
EGY,Egypt,2020-01-23,5.159
EGY,Egypt,2020-01-24,5.159
EGY,Egypt,2020-01-25,5.159
EGY,Egypt,2020-01-26,5.159
EGY,Egypt,2020-01-27,5.159
EGY,Egypt,2020-01-28,5.159
EGY,Egypt,2020-01-29,5.159
EGY,Egypt,2020-01-30,5.159
EGY,Egypt,2020-01-31,5.159
EGY,Egypt,2020-02-01,5.159
EGY,Egypt,2020-02-02,5.159
EGY,Egypt,2020-02-03,5.159
EGY,Egypt,2020-02-04,5.159
EGY,Egypt,2020-02-05,5.159
EGY,Egypt,2020-02-06,5.159
EGY,Egypt,2020-02-07,5.159
EGY,Egypt,2020-02-08,5.159
EGY,Egypt,2020-02-09,5.159
EGY,Egypt,2020-02-10,5.159
EGY,Egypt,2020-02-11,5.159
EGY,Egypt,2020-02-12,5.159
EGY,Egypt,2020-02-13,5.159
EGY,Egypt,2020-02-14,5.159
EGY,Egypt,2020-02-15,5.159
EGY,Egypt,2020-02-16,5.159
EGY,Egypt,2020-02-17,5.159
EGY,Egypt,2020-02-18,5.159
EGY,Egypt,2020-02-19,5.159
EGY,Egypt,2020-02-20,5.159
EGY,Egypt,2020-02-21,5.159
EGY,Egypt,2020-02-22,5.159
EGY,Egypt,2020-02-23,5.159
EGY,Egypt,2020-02-24,5.159
EGY,Egypt,2020-02-25,5.159
EGY,Egypt,2020-02-26,5.159
EGY,Egypt,2020-02-27,5.159
EGY,Egypt,2020-02-28,5.159
EGY,Egypt,2020-02-29,5.159
EGY,Egypt,2020-03-01,5.159
EGY,Egypt,2020-03-02,5.159
EGY,Egypt,2020-03-03,5.159
EGY,Egypt,2020-03-04,5.159
EGY,Egypt,2020-03-05,5.159
EGY,Egypt,2020-03-06,5.159
EGY,Egypt,2020-03-07,5.159
EGY,Egypt,2020-03-08,5.159
EGY,Egypt,2020-03-09,5.159
EGY,Egypt,2020-03-10,5.159
EGY,Egypt,2020-03-11,5.159
EGY,Egypt,2020-03-12,5.159
EGY,Egypt,2020-03-13,5.159
EGY,Egypt,2020-03-14,5.159
EGY,Egypt,2020-03-15,5.159
EGY,Egypt,2020-03-16,5.159
EGY,Egypt,2020-03-17,5.159
EGY,Egypt,2020-03-18,5.159
EGY,Egypt,2020-03-19,5.159
EGY,Egypt,2020-03-20,5.159
EGY,Egypt,2020-03-21,5.159
EGY,Egypt,2020-03-22,5.159
EGY,Egypt,2020-03-23,5.159
EGY,Egypt,2020-03-24,5.159
EGY,Egypt,2020-03-25,5.159
EGY,Egypt,2020-03-26,5.159
EGY,Egypt,2020-03-27,5.159
EGY,Egypt,2020-03-28,5.159
EGY,Egypt,2020-03-29,5.159
EGY,Egypt,2020-03-30,5.159
EGY,Egypt,2020-03-31,5.159
EGY,Egypt,2020-04-01,5.159
EGY,Egypt,2020-04-02,5.159
EGY,Egypt,2020-04-03,5.159
EGY,Egypt,2020-04-04,5.159
EGY,Egypt,2020-04-05,5.159
EGY,Egypt,2020-04-06,5.159
EGY,Egypt,2020-04-07,5.159
EGY,Egypt,2020-04-08,5.159
EGY,Egypt,2020-04-09,5.159
EGY,Egypt,2020-04-10,5.159
EGY,Egypt,2020-04-11,5.159
EGY,Egypt,2020-04-12,5.159
EGY,Egypt,2020-04-13,5.159
EGY,Egypt,2020-04-14,5.159
EGY,Egypt,2020-04-15,5.159
EGY,Egypt,2020-04-16,5.159
EGY,Egypt,2020-04-17,5.159
EGY,Egypt,2020-04-18,5.159
EGY,Egypt,2020-04-19,5.159
EGY,Egypt,2020-04-20,5.159
EGY,Egypt,2020-04-21,5.159
EGY,Egypt,2020-04-22,5.159
EGY,Egypt,2020-04-23,5.159
EGY,Egypt,2020-04-24,5.159
EGY,Egypt,2020-04-25,5.159
EGY,Egypt,2020-04-26,5.159
EGY,Egypt,2020-04-27,5.159
EGY,Egypt,2020-04-28,5.159
EGY,Egypt,2020-04-29,5.159
EGY,Egypt,2020-04-30,5.159
EGY,Egypt,2020-05-01,5.159
EGY,Egypt,2020-05-02,5.159
EGY,Egypt,2020-05-03,5.159
EGY,Egypt,2020-05-04,5.159
EGY,Egypt,2020-05-05,5.159
EGY,Egypt,2020-05-06,5.159
EGY,Egypt,2020-05-07,5.159
EGY,Egypt,2020-05-08,5.159
EGY,Egypt,2020-05-09,5.159
EGY,Egypt,2020-05-10,5.159
EGY,Egypt,2020-05-11,5.159
EGY,Egypt,2020-05-12,5.159
EGY,Egypt,2020-05-13,5.159
EGY,Egypt,2020-05-14,5.159
EGY,Egypt,2020-05-15,5.159
EGY,Egypt,2020-05-16,5.159
EGY,Egypt,2020-05-17,5.159
EGY,Egypt,2020-05-18,5.159
EGY,Egypt,2020-05-19,5.159
EGY,Egypt,2020-05-20,5.159
EGY,Egypt,2020-05-21,5.159
EGY,Egypt,2020-05-22,5.159
EGY,Egypt,2020-05-23,5.159
EGY,Egypt,2020-05-24,5.159
EGY,Egypt,2020-05-25,5.159
EGY,Egypt,2020-05-26,5.159
EGY,Egypt,2020-05-27,5.159
EGY,Egypt,2020-05-28,5.159
EGY,Egypt,2020-05-29,5.159
EGY,Egypt,2020-05-30,5.159
EGY,Egypt,2020-05-31,5.159
EGY,Egypt,2020-06-01,5.159
EGY,Egypt,2020-06-02,5.159
EGY,Egypt,2020-06-03,5.159
EGY,Egypt,2020-06-04,5.159
EGY,Egypt,2020-06-05,5.159
EGY,Egypt,2020-06-06,5.159
EGY,Egypt,2020-06-07,5.159
EGY,Egypt,2020-06-08,5.159
EGY,Egypt,2020-06-09,5.159
EGY,Egypt,2020-06-10,5.159
EGY,Egypt,2020-06-11,5.159
EGY,Egypt,2020-06-12,5.159
EGY,Egypt,2020-06-13,5.159
EGY,Egypt,2020-06-14,5.159
EGY,Egypt,2020-06-15,5.159
EGY,Egypt,2020-06-16,5.159
EGY,Egypt,2020-06-17,5.159
EGY,Egypt,2020-06-18,5.159
EGY,Egypt,2020-06-19,5.159
EGY,Egypt,2020-06-20,5.159
EGY,Egypt,2020-06-21,5.159
EGY,Egypt,2020-06-22,5.159
EGY,Egypt,2020-06-23,5.159
EGY,Egypt,2020-06-24,5.159
EGY,Egypt,2020-06-25,5.159
EGY,Egypt,2020-06-26,5.159
EGY,Egypt,2020-06-27,5.159
EGY,Egypt,2020-06-28,5.159
EGY,Egypt,2020-06-29,5.159
EGY,Egypt,2020-06-30,5.159
EGY,Egypt,2020-07-01,5.159
EGY,Egypt,2020-07-02,5.159
EGY,Egypt,2020-07-03,5.159
EGY,Egypt,2020-07-04,5.159
EGY,Egypt,2020-07-05,5.159
EGY,Egypt,2020-07-06,5.159
EGY,Egypt,2020-07-07,5.159
EGY,Egypt,2020-07-08,5.159
EGY,Egypt,2020-07-09,5.159
EGY,Egypt,2020-07-10,5.159
EGY,Egypt,2020-07-11,5.159
EGY,Egypt,2020-07-12,5.159
EGY,Egypt,2020-07-13,5.159
EGY,Egypt,2020-07-14,5.159
EGY,Egypt,2020-07-15,5.159
EGY,Egypt,2020-07-16,5.159
EGY,Egypt,2020-07-17,5.159
EGY,Egypt,2020-07-18,5.159
EGY,Egypt,2020-07-19,5.159
EGY,Egypt,2020-07-20,5.159
EGY,Egypt,2020-07-21,5.159
EGY,Egypt,2020-07-22,5.159
EGY,Egypt,2020-07-23,5.159
EGY,Egypt,2020-07-24,5.159
EGY,Egypt,2020-07-25,5.159
EGY,Egypt,2020-07-26,5.159
EGY,Egypt,2020-07-27,5.159
EGY,Egypt,2020-07-28,5.159
EGY,Egypt,2020-07-29,5.159
EGY,Egypt,2020-07-30,5.159
EGY,Egypt,2020-07-31,5.159
EGY,Egypt,2020-08-01,5.159
EGY,Egypt,2020-08-02,5.159
EGY,Egypt,2020-08-03,5.159
EGY,Egypt,2020-08-04,5.159
EGY,Egypt,2020-08-05,5.159
EGY,Egypt,2020-08-06,5.159
EGY,Egypt,2020-08-07,5.159
EGY,Egypt,2020-08-08,5.159
EGY,Egypt,2020-08-09,5.159
EGY,Egypt,2020-08-10,5.159
EGY,Egypt,2020-08-11,5.159
EGY,Egypt,2020-08-12,5.159
EGY,Egypt,2020-08-13,5.159
EGY,Egypt,2020-08-14,5.159
EGY,Egypt,2020-08-15,5.159
EGY,Egypt,2020-08-16,5.159
EGY,Egypt,2020-08-17,5.159
EGY,Egypt,2020-08-18,5.159
EGY,Egypt,2020-08-19,5.159
EGY,Egypt,2020-08-20,5.159
EGY,Egypt,2020-08-21,5.159
EGY,Egypt,2020-08-22,5.159
EGY,Egypt,2020-08-23,5.159
EGY,Egypt,2020-08-24,5.159
EGY,Egypt,2020-08-25,5.159
EGY,Egypt,2020-08-26,5.159
EGY,Egypt,2020-08-27,5.159
EGY,Egypt,2020-08-28,5.159
EGY,Egypt,2020-08-29,5.159
EGY,Egypt,2020-08-30,5.159
EGY,Egypt,2020-08-31,5.159
EGY,Egypt,2020-09-01,5.159
EGY,Egypt,2020-09-02,5.159
EGY,Egypt,2020-09-03,5.159
EGY,Egypt,2020-09-04,5.159
EGY,Egypt,2020-09-05,5.159
EGY,Egypt,2020-09-06,5.159
EGY,Egypt,2020-09-07,5.159
EGY,Egypt,2020-09-08,5.159
ERI,Eritrea,2020-03-22,3.6069999999999998
ERI,Eritrea,2020-03-23,3.6069999999999998
ERI,Eritrea,2020-03-24,3.6069999999999998
ERI,Eritrea,2020-03-25,3.6069999999999998
ERI,Eritrea,2020-03-26,3.6069999999999998
ERI,Eritrea,2020-03-27,3.6069999999999998
ERI,Eritrea,2020-03-28,3.6069999999999998
ERI,Eritrea,2020-03-29,3.6069999999999998
ERI,Eritrea,2020-03-30,3.6069999999999998
ERI,Eritrea,2020-03-31,3.6069999999999998
ERI,Eritrea,2020-04-01,3.6069999999999998
ERI,Eritrea,2020-04-02,3.6069999999999998
ERI,Eritrea,2020-04-03,3.6069999999999998
ERI,Eritrea,2020-04-04,3.6069999999999998
ERI,Eritrea,2020-04-05,3.6069999999999998
ERI,Eritrea,2020-04-06,3.6069999999999998
ERI,Eritrea,2020-04-07,3.6069999999999998
ERI,Eritrea,2020-04-08,3.6069999999999998
ERI,Eritrea,2020-04-09,3.6069999999999998
ERI,Eritrea,2020-04-10,3.6069999999999998
ERI,Eritrea,2020-04-11,3.6069999999999998
ERI,Eritrea,2020-04-12,3.6069999999999998
ERI,Eritrea,2020-04-13,3.6069999999999998
ERI,Eritrea,2020-04-14,3.6069999999999998
ERI,Eritrea,2020-04-15,3.6069999999999998
ERI,Eritrea,2020-04-16,3.6069999999999998
ERI,Eritrea,2020-04-17,3.6069999999999998
ERI,Eritrea,2020-04-18,3.6069999999999998
ERI,Eritrea,2020-04-19,3.6069999999999998
ERI,Eritrea,2020-04-20,3.6069999999999998
ERI,Eritrea,2020-04-21,3.6069999999999998
ERI,Eritrea,2020-04-22,3.6069999999999998
ERI,Eritrea,2020-04-23,3.6069999999999998
ERI,Eritrea,2020-04-24,3.6069999999999998
ERI,Eritrea,2020-04-25,3.6069999999999998
ERI,Eritrea,2020-04-26,3.6069999999999998
ERI,Eritrea,2020-04-27,3.6069999999999998
ERI,Eritrea,2020-04-28,3.6069999999999998
ERI,Eritrea,2020-04-29,3.6069999999999998
ERI,Eritrea,2020-04-30,3.6069999999999998
ERI,Eritrea,2020-05-01,3.6069999999999998
ERI,Eritrea,2020-05-02,3.6069999999999998
ERI,Eritrea,2020-05-03,3.6069999999999998
ERI,Eritrea,2020-05-04,3.6069999999999998
ERI,Eritrea,2020-05-05,3.6069999999999998
ERI,Eritrea,2020-05-06,3.6069999999999998
ERI,Eritrea,2020-05-07,3.6069999999999998
ERI,Eritrea,2020-05-08,3.6069999999999998
ERI,Eritrea,2020-05-09,3.6069999999999998
ERI,Eritrea,2020-05-10,3.6069999999999998
ERI,Eritrea,2020-05-11,3.6069999999999998
ERI,Eritrea,2020-05-12,3.6069999999999998
ERI,Eritrea,2020-05-13,3.6069999999999998
ERI,Eritrea,2020-05-14,3.6069999999999998
ERI,Eritrea,2020-05-15,3.6069999999999998
ERI,Eritrea,2020-05-16,3.6069999999999998
ERI,Eritrea,2020-05-17,3.6069999999999998
ERI,Eritrea,2020-05-18,3.6069999999999998
ERI,Eritrea,2020-05-19,3.6069999999999998
ERI,Eritrea,2020-05-20,3.6069999999999998
ERI,Eritrea,2020-05-21,3.6069999999999998
ERI,Eritrea,2020-05-22,3.6069999999999998
ERI,Eritrea,2020-05-23,3.6069999999999998
ERI,Eritrea,2020-05-24,3.6069999999999998
ERI,Eritrea,2020-05-25,3.6069999999999998
ERI,Eritrea,2020-05-26,3.6069999999999998
ERI,Eritrea,2020-05-27,3.6069999999999998
ERI,Eritrea,2020-05-28,3.6069999999999998
ERI,Eritrea,2020-05-29,3.6069999999999998
ERI,Eritrea,2020-05-30,3.6069999999999998
ERI,Eritrea,2020-05-31,3.6069999999999998
ERI,Eritrea,2020-06-01,3.6069999999999998
ERI,Eritrea,2020-06-02,3.6069999999999998
ERI,Eritrea,2020-06-03,3.6069999999999998
ERI,Eritrea,2020-06-04,3.6069999999999998
ERI,Eritrea,2020-06-05,3.6069999999999998
ERI,Eritrea,2020-06-06,3.6069999999999998
ERI,Eritrea,2020-06-07,3.6069999999999998
ERI,Eritrea,2020-06-08,3.6069999999999998
ERI,Eritrea,2020-06-09,3.6069999999999998
